0.0459	0.0629	0.0809	0.5666	0.7772	1.3986	26.8039	1	2018
0.0258	0.0369	-1.3180	0.6339	0.9080	0.0981	46.5781	1	2020
0.0396	0.0733	0.9123	0.5192	0.9616	0.8949	263.2825	1	2022
0.0156	0.0271	0.0177	0.0907	0.1576	6.3218	11.6372	2	2018
0.0061	0.0195	0.0898	0.0740	0.2363	3.9639	53.2053	2	2020
0.0025	0.0053	0.0038	0.0387	0.0806	12.0039	27.7841	2	2022
0.0359	0.0165	-0.2648	0.4533	0.2080	4.3196	1.6247	3	2018
0.1085	0.0724	0.1531	0.4595	0.3067	2.5587	5.3141	3	2020
0.0462	0.0161	0.1559	0.2945	0.1028	5.2739	2.3546	3	2022
0.1050	0.2159	0.2791	0.1245	0.2561	3.5258	6.2205	4	2018
-0.0185	-0.0621	-0.0876	0.0524	0.1758	5.2663	6.6279	4	2020
-0.0044	-0.0188	-0.0252	0.0512	0.2188	2.7802	21.0054	4	2022
0.0160	0.0708	0.2425	0.0606	0.2680	3.9149	12.6964	5	2018
0.0102	0.0630	0.0543	0.0340	0.2100	3.4426	14.1705	5	2020
0.0044	0.0281	0.0318	0.0501	0.3228	2.2730	35.2787	5	2022
0.0445	0.0526	0.0988	0.4712	0.5574	1.3553	16.5465	6	2018
0.0845	0.0938	0.1850	0.5718	0.6352	1.1846	27.0375	6	2020
0.0934	0.1181	0.6665	0.5509	0.6970	1.1750	7.9479	6	2022
0.0456	0.1194	0.1700	0.1772	0.4642	2.0495	105.5275	7	2018
0.0502	0.1199	0.1567	0.1748	0.4178	2.3504	516.7302	7	2020
0.0542	0.1327	0.1982	0.1985	0.4854	1.9604	520.6557	7	2022
0.0064	0.0304	0.0559	0.0438	0.2089	7.0238	11.7337	8	2018
0.0080	0.0433	0.0547	0.0539	0.2918	3.3103	86.2900	8	2020
0.0026	0.0140	0.0170	0.0495	0.2615	3.1868	31.7629	8	2022
0.0426	0.0570	0.1810	0.5667	0.7578	1.0800	12.7257	9	2018
0.0454	0.0509	0.0541	0.3233	0.3621	1.8877	15.3068	9	2020
0.1007	0.0962	0.0992	0.3400	0.3248	2.3275	14.4195	9	2022
